ecoli70,1000,0,GIC1,0.7571428571428571,0.273972602739726,25.0,35.0
ecoli70,1000,0,GIC2,0.7428571428571429,0.1875,20.0,18.0
ecoli70,1000,1,GIC1,0.7428571428571429,0.2876712328767123,27.0,32.0
ecoli70,1000,1,GIC2,0.7285714285714285,0.19047619047619047,21.0,15.0
ecoli70,1000,2,GIC1,0.8142857142857143,0.19718309859154928,20.0,21.0
ecoli70,1000,2,GIC2,0.8142857142857143,0.109375,14.0,11.0
ecoli70,300,0,GIC1,0.7,0.20967741935483872,24.0,18.0
ecoli70,300,0,GIC2,0.6857142857142857,0.2,24.0,17.0
ecoli70,300,1,GIC1,0.7285714285714285,0.22727272727272727,24.0,19.0
ecoli70,300,1,GIC2,0.7,0.1694915254237288,22.0,16.0
ecoli70,300,2,GIC1,0.6857142857142857,0.23809523809523808,28.0,38.0
ecoli70,300,2,GIC2,0.6714285714285714,0.21666666666666667,27.0,30.0
magic-irri,1000,0,GIC1,0.6470588235294118,0.2413793103448276,42.0,40.0
magic-irri,1000,0,GIC2,0.5392156862745098,0.2028985507246377,48.0,48.0
magic-irri,1000,1,GIC1,0.7156862745098039,0.1411764705882353,31.0,32.0
magic-irri,1000,1,GIC2,0.6274509803921569,0.1111111111111111,39.0,42.0
magic-irri,1000,2,GIC1,0.5980392156862745,0.24691358024691357,50.0,53.0
magic-irri,1000,2,GIC2,0.5098039215686274,0.21212121212121213,53.0,58.0
magic-irri,300,0,GIC1,0.3627450980392157,0.32727272727272727,75.0,77.0
magic-irri,300,0,GIC2,0.3137254901960784,0.1794871794871795,70.0,73.0
magic-irri,300,1,GIC1,0.3137254901960784,0.2558139534883721,71.0,73.0
magic-irri,300,1,GIC2,0.23529411764705882,0.29411764705882354,79.0,82.0
magic-irri,300,2,GIC1,0.3431372549019608,0.20454545454545456,70.0,74.0
magic-irri,300,2,GIC2,0.29411764705882354,0.16666666666666666,72.0,76.0
magic-niab,1000,0,GIC1,0.6818181818181818,0.27419354838709675,24.0,23.0
magic-niab,1000,0,GIC2,0.6212121212121212,0.22641509433962265,25.0,22.0
magic-niab,1000,1,GIC1,0.6666666666666666,0.2542372881355932,23.0,23.0
magic-niab,1000,1,GIC2,0.5757575757575758,0.22448979591836735,28.0,27.0
magic-niab,1000,2,GIC1,0.8181818181818182,0.18181818181818182,17.0,19.0
magic-niab,1000,2,GIC2,0.7272727272727273,0.12727272727272726,18.0,17.0
magic-niab,300,0,GIC1,0.42424242424242425,0.2631578947368421,38.0,39.0
magic-niab,300,0,GIC2,0.30303030303030304,0.25925925925925924,46.0,48.0
magic-niab,300,1,GIC1,0.3939393939393939,0.2571428571428571,40.0,40.0
magic-niab,300,1,GIC2,0.2727272727272727,0.25,48.0,46.0
magic-niab,300,2,GIC1,0.3484848484848485,0.28125,45.0,44.0
magic-niab,300,2,GIC2,0.2727272727272727,0.25,49.0,48.0
